Name;Sex;Age;Height;Weight;Team;Year;Sport
"Karl Johan Valdemar ""Valle"" Rautio";F;51;170;65;Russia;2016;Equestrianism
Alexander Viggo Jensen;M;51;170;70;Panama;2016;Shooting
Anna Maria Svrd-Le Moine (Bergstrm-);M;51;176;90;Angola;2016;Shooting
Gerrit Jan Arnold Jannink;M;51;165;72;Australia;2016;Shooting
"Patrick ""Paddy"" McClure";M;51;176;95;Peru;2016;Shooting
Per Lennart Harald Sundberg;M;51;182;100;Portugal;2016;Shooting
Roland Surrugue;M;51;182;100;Portugal;2016;Shooting
Torben Alstrup Jensen;M;51;170;70;Panama;2016;Shooting
Katie Louise Archibald;F;52;168;63;United States;2016;Equestrianism
Micha Kubiak;F;52;168;63;United States;2016;Equestrianism
Ricardo Acua;M;52;183;83;Individual Olympic Athletes;2016;Shooting
an Tabak;M;53;171;69;Belgium;2016;Equestrianism
Elena Roxana Napr;M;53;186;92;Fiji;2016;Shooting
Auguste Savonnet;F;54;170;73;Brazil;2016;Shooting
"Alexander John ""Alex"" Groza";M;54;NA;NA;Palestine;2016;Equestrianism
Haithem Abid;M;54;174;67;Morocco;2016;Equestrianism
Errol Stewart;M;60;171;70;Great Britain;2016;Equestrianism
"Stuart Grosvenor ""Stu"" Stickney";M;60;171;70;Great Britain;2016;Equestrianism
Carlos Alberto Tramtolo Navarro;F;62;157;48;New Zealand;2016;Equestrianism
